"Module","Sub-Section","Permission Name","URL/Page (where enforced)","Description / Purpose","Expected Behavior — Has Permission","Expected Behavior — No Permission","How to Test","Frontend","Backend"
"Registration","Appointments","View phlebotomists list","Registration → Appointments (/registration/appointments)","Registration → Appointments: controls the “View phlebotomists list” capability.","The “View phlebotomists list” control is visible and enabled on this page; the user may perform the action.","The “View phlebotomists list” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “View phlebotomists list” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes",""
"Registration","Appointments","View phlebotomists schedule","Registration → Appointments (/registration/appointments)","Registration → Appointments: controls the “View phlebotomists schedule” capability.","The “View phlebotomists schedule” control is visible and enabled on this page; the user may perform the action.","The “View phlebotomists schedule” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “View phlebotomists schedule” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes",""
"Registration","Appointments","Add phlebotomist configuration","Registration → Appointments (/registration/appointments)","Registration → Appointments: controls the “Add phlebotomist configuration” capability.","The “Add phlebotomist configuration” control is visible and enabled on this page; the user may perform the action.","The “Add phlebotomist configuration” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Add phlebotomist configuration” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Registration","Appointments","Update phlebotomist configuration","Registration → Appointments (/registration/appointments)","Registration → Appointments: controls the “Update phlebotomist configuration” capability.","The “Update phlebotomist configuration” control is visible and enabled on this page; the user may perform the action.","The “Update phlebotomist configuration” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Update phlebotomist configuration” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Registration","Order Console","View only","Order Console (/order-console)","Registration → Order Console: controls the “View only” capability.","The “View only” control is visible and enabled on this page; the user may perform the action.","The “View only” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “View only” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes",""
"Registration","Order Console","Update in the order console","Order Console (/order-console)","Registration → Order Console: controls the “Update in the order console” capability.","The “Update in the order console” control is visible and enabled on this page; the user may perform the action.","The “Update in the order console” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Update in the order console” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","",""
"Registration","Reports","View reports of users","","Registration → Reports: controls the “View reports of users” capability.","The ""View reports of users"" control is visible and enabled for the user; the action may be performed.","The ""View reports of users"" control is hidden or disabled; the action is not permitted, and a direct attempt is rejected server-side (403 PERMISSION_DENIED) unless the caller is a business_admin/administrator (who bypass all checks).","Grant ""View reports of users"" to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), act as that user, and confirm the control is available and works. Then revoke it and confirm the control disappears / the action is blocked.","",""
"Registration","Reports","View reports of all users","","Registration → Reports: controls the “View reports of all users” capability.","The ""View reports of all users"" control is visible and enabled for the user; the action may be performed.","The ""View reports of all users"" control is hidden or disabled; the action is not permitted, and a direct attempt is rejected server-side (403 PERMISSION_DENIED) unless the caller is a business_admin/administrator (who bypass all checks).","Grant ""View reports of all users"" to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), act as that user, and confirm the control is available and works. Then revoke it and confirm the control disappears / the action is blocked.","",""
"Registration","Registration Settings","View registration settings","Registration → Settings → Registration Settings (/registration/settings)","Registration → Registration Settings: controls the “View registration settings” capability.","The “View registration settings” control is visible and enabled on this page; the user may perform the action.","The “View registration settings” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “View registration settings” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","","Yes"
"Registration","Registration Settings","Update registration settings","Registration → Settings → Registration Settings (/registration/settings)","Registration → Registration Settings: controls the “Update registration settings” capability.","The “Update registration settings” control is visible and enabled on this page; the user may perform the action.","The “Update registration settings” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Update registration settings” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","","Yes"
"Registration","Incident Reports","Create incident report","","Registration → Incident Reports: controls the ""Create incident report"" capability.","The ""Create incident report"" control is visible and enabled for the user; the action may be performed.","The ""Create incident report"" control is hidden or disabled; the action is not permitted, and a direct attempt is rejected server-side (403 PERMISSION_DENIED) unless the caller is a business_admin/administrator (who bypass all checks).","Grant ""Create incident report"" to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), act as that user, and confirm the control is available and works. Then revoke it and confirm the control disappears / the action is blocked.","",""
"Registration","Incident Reports","Update incident report","","Registration → Incident Reports: controls the ""Update incident report"" capability.","The ""Update incident report"" control is visible and enabled for the user; the action may be performed.","The ""Update incident report"" control is hidden or disabled; the action is not permitted, and a direct attempt is rejected server-side (403 PERMISSION_DENIED) unless the caller is a business_admin/administrator (who bypass all checks).","Grant ""Update incident report"" to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), act as that user, and confirm the control is available and works. Then revoke it and confirm the control disappears / the action is blocked.","",""
"Registration","Incident Reports","Reassign to other user","","Registration → Incident Reports: controls the ""Reassign to other user"" capability.","The ""Reassign to other user"" control is visible and enabled for the user; the action may be performed.","The ""Reassign to other user"" control is hidden or disabled; the action is not permitted, and a direct attempt is rejected server-side (403 PERMISSION_DENIED) unless the caller is a business_admin/administrator (who bypass all checks).","Grant ""Reassign to other user"" to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), act as that user, and confirm the control is available and works. Then revoke it and confirm the control disappears / the action is blocked.","",""
"Registration","Incident Reports","Delete incident report","","Registration → Incident Reports: controls the ""Delete incident report"" capability.","The ""Delete incident report"" control is visible and enabled for the user; the action may be performed.","The ""Delete incident report"" control is hidden or disabled; the action is not permitted, and a direct attempt is rejected server-side (403 PERMISSION_DENIED) unless the caller is a business_admin/administrator (who bypass all checks).","Grant ""Delete incident report"" to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), act as that user, and confirm the control is available and works. Then revoke it and confirm the control disappears / the action is blocked.","",""
"Registration","Incident Reports","Update the status","","Registration → Incident Reports: controls the ""Update the status"" capability.","The ""Update the status"" control is visible and enabled for the user; the action may be performed.","The ""Update the status"" control is hidden or disabled; the action is not permitted, and a direct attempt is rejected server-side (403 PERMISSION_DENIED) unless the caller is a business_admin/administrator (who bypass all checks).","Grant ""Update the status"" to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), act as that user, and confirm the control is available and works. Then revoke it and confirm the control disappears / the action is blocked.","",""
"Registration","Incident Reports","Close the incident","","Registration → Incident Reports: controls the ""Close the incident"" capability.","The ""Close the incident"" control is visible and enabled for the user; the action may be performed.","The ""Close the incident"" control is hidden or disabled; the action is not permitted, and a direct attempt is rejected server-side (403 PERMISSION_DENIED) unless the caller is a business_admin/administrator (who bypass all checks).","Grant ""Close the incident"" to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), act as that user, and confirm the control is available and works. Then revoke it and confirm the control disappears / the action is blocked.","",""
"Accession","In-House Order","Collect the sample","Accession (/accession)","Accession → In-House Order: controls the “Collect the sample” capability.","The “Collect the sample” control is visible and enabled on this page; the user may perform the action.","The “Collect the sample” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Collect the sample” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Accession","In-House Order","Accept the sample","Accession (/accession)","Accession → In-House Order: controls the “Accept the sample” capability.","The “Accept the sample” control is visible and enabled on this page; the user may perform the action.","The “Accept the sample” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Accept the sample” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Accession","In-House Order","Acquired the sample","Accession (/accession)","Accession → In-House Order: controls the “Acquired the sample” capability.","The “Acquired the sample” control is visible and enabled on this page; the user may perform the action.","The “Acquired the sample” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Acquired the sample” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Accession","In-House Order","Error the sample","Accession (/accession)","Accession → In-House Order: controls the “Error the sample” capability.","The “Error the sample” control is visible and enabled on this page; the user may perform the action.","The “Error the sample” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Error the sample” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Accession","In-House Order","Hold the sample","Accession (/accession)","Accession → In-House Order: controls the “Hold the sample” capability.","The “Hold the sample” control is visible and enabled on this page; the user may perform the action.","The “Hold the sample” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Hold the sample” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Accession","In-House Order","Halt the sample","Accession (/accession)","Accession → In-House Order: controls the “Halt the sample” capability.","The “Halt the sample” control is visible and enabled on this page; the user may perform the action.","The “Halt the sample” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Halt the sample” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Accession","In-House Order","Send the sample","Accession (/accession)","Accession → In-House Order: controls the “Send the sample” capability.","The “Send the sample” control is visible and enabled on this page; the user may perform the action.","The “Send the sample” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Send the sample” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Accession","In-House Order","Assign internal referral center","Accession (/accession)","Accession → In-House Order: controls the “Assign internal referral center” capability.","The “Assign internal referral center” control is visible and enabled on this page; the user may perform the action.","The “Assign internal referral center” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Assign internal referral center” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","","Yes"
"Accession","In-House Order","Update internal referral center","Accession (/accession)","Accession → In-House Order: controls the “Update internal referral center” capability.","The “Update internal referral center” control is visible and enabled on this page; the user may perform the action.","The “Update internal referral center” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Update internal referral center” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Accession","In-House Order","Forward the sample","Accession (/accession)","Accession → In-House Order: controls the “Forward the sample” capability.","The “Forward the sample” control is visible and enabled on this page; the user may perform the action.","The “Forward the sample” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Forward the sample” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Accession","In-House Order","Assign external referral center","Accession (/accession)","Accession → In-House Order: controls the “Assign external referral center” capability.","The “Assign external referral center” control is visible and enabled on this page; the user may perform the action.","The “Assign external referral center” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Assign external referral center” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","","Yes"
"Accession","In-House Order","Update the external referral center","Accession (/accession)","Accession → In-House Order: controls the “Update the external referral center” capability.","The “Update the external referral center” control is visible and enabled on this page; the user may perform the action.","The “Update the external referral center” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Update the external referral center” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Accession","In-House Order","Outsource the sample","Accession (/accession)","Accession → In-House Order: controls the “Outsource the sample” capability.","The “Outsource the sample” control is visible and enabled on this page; the user may perform the action.","The “Outsource the sample” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Outsource the sample” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Accession","In-House Order","Assign outsource center","Accession (/accession)","Accession → In-House Order: controls the “Assign outsource center” capability.","The “Assign outsource center” control is visible and enabled on this page; the user may perform the action.","The “Assign outsource center” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Assign outsource center” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","","Yes"
"Accession","In-House Order","Update outsource center","Accession (/accession)","Accession → In-House Order: controls the “Update outsource center” capability.","The “Update outsource center” control is visible and enabled on this page; the user may perform the action.","The “Update outsource center” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Update outsource center” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Accession","In-House Order","Discard the sample","Accession (/accession)","Accession → In-House Order: controls the “Discard the sample” capability.","The “Discard the sample” control is visible and enabled on this page; the user may perform the action.","The “Discard the sample” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Discard the sample” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Accession","In-House Order","Store sample","Accession (/accession)","Accession → In-House Order: controls the “Store sample” capability.","The “Store sample” control is visible and enabled on this page; the user may perform the action.","The “Store sample” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Store sample” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Accession","In-House Order","Return the sample","Accession (/accession)","Accession → In-House Order: controls the “Return the sample” capability.","The “Return the sample” control is visible and enabled on this page; the user may perform the action.","The “Return the sample” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Return the sample” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Accession","In-House Order","Cancel the sample","Accession (/accession)","Accession → In-House Order: controls the “Cancel the sample” capability.","The “Cancel the sample” control is visible and enabled on this page; the user may perform the action.","The “Cancel the sample” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Cancel the sample” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Accession","In-House Order","Assign barcode","Accession (/accession)","Accession → In-House Order: controls the “Assign barcode” capability.","The “Assign barcode” control is visible and enabled on this page; the user may perform the action.","The “Assign barcode” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Assign barcode” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Accession","In-House Order","Retrieve the action","Accession (/accession)","Accession → In-House Order: controls the “Retrieve the action” capability.","The “Retrieve the action” control is visible and enabled on this page; the user may perform the action.","The “Retrieve the action” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Retrieve the action” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Accession","In-House Order","Update the sample notes","Accession (/accession)","Accession → In-House Order: controls the “Update the sample notes” capability.","The “Update the sample notes” control is visible and enabled on this page; the user may perform the action.","The “Update the sample notes” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Update the sample notes” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","","Yes"
"Accession","In-House Order","Allow multiple action","Accession (/accession)","Accession → In-House Order: controls the “Allow multiple action” capability.","The “Allow multiple action” control is visible and enabled on this page; the user may perform the action.","The “Allow multiple action” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Allow multiple action” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes",""
"Accession","Internal Referral Order","Pick up the sample","Accession (/accession) — Internal Referral orders","Accession → Internal Referral Order: controls the “Pick up the sample” capability.","The “Pick up the sample” control is visible and enabled on this page; the user may perform the action.","The “Pick up the sample” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Pick up the sample” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Accession","Internal Referral Order","Receive the sample","Accession (/accession) — Internal Referral orders","Accession → Internal Referral Order: controls the “Receive the sample” capability.","The “Receive the sample” control is visible and enabled on this page; the user may perform the action.","The “Receive the sample” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Receive the sample” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Accession","Internal Referral Order","Accept the sample","Accession (/accession) — Internal Referral orders","Accession → Internal Referral Order: controls the “Accept the sample” capability.","The “Accept the sample” control is visible and enabled on this page; the user may perform the action.","The “Accept the sample” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Accept the sample” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Accession","Internal Referral Order","Reject the sample","Accession (/accession) — Internal Referral orders","Accession → Internal Referral Order: controls the “Reject the sample” capability.","The “Reject the sample” control is visible and enabled on this page; the user may perform the action.","The “Reject the sample” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Reject the sample” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Accession","Internal Referral Order","Repeat the sample","Accession (/accession) — Internal Referral orders","Accession → Internal Referral Order: controls the “Repeat the sample” capability.","The “Repeat the sample” control is visible and enabled on this page; the user may perform the action.","The “Repeat the sample” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Repeat the sample” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Accession","Internal Referral Order","Update sample notes","Accession (/accession) — Internal Referral orders","Accession → Internal Referral Order: controls the “Update sample notes” capability.","The “Update sample notes” control is visible and enabled on this page; the user may perform the action.","The “Update sample notes” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Update sample notes” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes",""
"Accession","Internal Referral Order","Assign the barcode","Accession (/accession) — Internal Referral orders","Accession → Internal Referral Order: controls the “Assign the barcode” capability.","The “Assign the barcode” control is visible and enabled on this page; the user may perform the action.","The “Assign the barcode” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Assign the barcode” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","",""
"Accession","Internal Referral Order","Allow multiple action","Accession (/accession) — Internal Referral orders","Accession → Internal Referral Order: controls the “Allow multiple action” capability.","The “Allow multiple action” control is visible and enabled on this page; the user may perform the action.","The “Allow multiple action” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Allow multiple action” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","",""
"Accession","External Referral Order","Pick up the sample","Accession (/accession) — External Referral orders","Accession → External Referral Order: controls the “Pick up the sample” capability.","The “Pick up the sample” control is visible and enabled on this page; the user may perform the action.","The “Pick up the sample” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Pick up the sample” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Accession","External Referral Order","Receive the sample","Accession (/accession) — External Referral orders","Accession → External Referral Order: controls the “Receive the sample” capability.","The “Receive the sample” control is visible and enabled on this page; the user may perform the action.","The “Receive the sample” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Receive the sample” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Accession","External Referral Order","Accept the sample","Accession (/accession) — External Referral orders","Accession → External Referral Order: controls the “Accept the sample” capability.","The “Accept the sample” control is visible and enabled on this page; the user may perform the action.","The “Accept the sample” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Accept the sample” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Accession","External Referral Order","Reject the sample","Accession (/accession) — External Referral orders","Accession → External Referral Order: controls the “Reject the sample” capability.","The “Reject the sample” control is visible and enabled on this page; the user may perform the action.","The “Reject the sample” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Reject the sample” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Accession","External Referral Order","Repeat the sample","Accession (/accession) — External Referral orders","Accession → External Referral Order: controls the “Repeat the sample” capability.","The “Repeat the sample” control is visible and enabled on this page; the user may perform the action.","The “Repeat the sample” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Repeat the sample” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Accession","External Referral Order","Update sample notes","Accession (/accession) — External Referral orders","Accession → External Referral Order: controls the “Update sample notes” capability.","The “Update sample notes” control is visible and enabled on this page; the user may perform the action.","The “Update sample notes” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Update sample notes” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes",""
"Accession","External Referral Order","Assign the barcode","Accession (/accession) — External Referral orders","Accession → External Referral Order: controls the “Assign the barcode” capability.","The “Assign the barcode” control is visible and enabled on this page; the user may perform the action.","The “Assign the barcode” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Assign the barcode” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","",""
"Accession","External Referral Order","Allow multiple action","Accession (/accession) — External Referral orders","Accession → External Referral Order: controls the “Allow multiple action” capability.","The “Allow multiple action” control is visible and enabled on this page; the user may perform the action.","The “Allow multiple action” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Allow multiple action” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","",""
"Accession","Outsource Orders","Pick up the sample","Accession (/accession) — Outsource orders","Accession → Outsource Orders: controls the “Pick up the sample” capability.","The “Pick up the sample” control is visible and enabled on this page; the user may perform the action.","The “Pick up the sample” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Pick up the sample” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Accession","Outsource Orders","Receive the sample","Accession (/accession) — Outsource orders","Accession → Outsource Orders: controls the “Receive the sample” capability.","The “Receive the sample” control is visible and enabled on this page; the user may perform the action.","The “Receive the sample” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Receive the sample” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Accession","Outsource Orders","Accept the sample","Accession (/accession) — Outsource orders","Accession → Outsource Orders: controls the “Accept the sample” capability.","The “Accept the sample” control is visible and enabled on this page; the user may perform the action.","The “Accept the sample” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Accept the sample” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Accession","Outsource Orders","Reject the sample","Accession (/accession) — Outsource orders","Accession → Outsource Orders: controls the “Reject the sample” capability.","The “Reject the sample” control is visible and enabled on this page; the user may perform the action.","The “Reject the sample” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Reject the sample” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Accession","Outsource Orders","Repeat the sample","Accession (/accession) — Outsource orders","Accession → Outsource Orders: controls the “Repeat the sample” capability.","The “Repeat the sample” control is visible and enabled on this page; the user may perform the action.","The “Repeat the sample” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Repeat the sample” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes","Yes"
"Accession","Outsource Orders","Update sample notes","Accession (/accession) — Outsource orders","Accession → Outsource Orders: controls the “Update sample notes” capability.","The “Update sample notes” control is visible and enabled on this page; the user may perform the action.","The “Update sample notes” control is hidden or disabled on this page; the action is not permitted (and is rejected if attempted directly).","Grant “Update sample notes” to the target role via Users → Role Permissions (or to the user directly from the branch-admin user list), open this page as that user, and confirm the control is available. Then revoke it and confirm the control disappears / the action is blocked.","Yes",""
